pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Pelorus	contig_5797	339001	340000	NA	0	NA	NA	NA
Moore	contig_5797	339001	340000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	339001	340000	NA	0	NA	NA	NA
Lizard	contig_5797	339001	340000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	339001	340000	NA	0	NA	NA	NA
Chicken	contig_5797	339001	340000	NA	0	NA	NA	NA
Davies	contig_5797	339001	340000	NA	0	NA	NA	NA
Heron	contig_5797	339001	340000	NA	0	NA	NA	NA
Davies	contig_5797	340001	341000	NA	0	NA	NA	NA
Chicken	contig_5797	340001	341000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	340001	341000	NA	0	NA	NA	NA
Heron	contig_5797	340001	341000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	340001	341000	NA	0	NA	NA	NA
Lizard	contig_5797	340001	341000	NA	0	NA	NA	NA
Moore	contig_5797	340001	341000	NA	0	NA	NA	NA
Pelorus	contig_5797	340001	341000	NA	0	NA	NA	NA
Moore	contig_5797	341001	342000	NA	0	NA	NA	NA
Lizard	contig_5797	341001	342000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	341001	342000	NA	0	NA	NA	NA
Pelorus	contig_5797	341001	342000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	341001	342000	NA	0	NA	NA	NA
Chicken	contig_5797	341001	342000	NA	0	NA	NA	NA
Davies	contig_5797	341001	342000	NA	0	NA	NA	NA
Heron	contig_5797	341001	342000	NA	0	NA	NA	NA
Moore	contig_5797	342001	343000	NA	0	NA	NA	NA
Lizard	contig_5797	342001	343000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	342001	343000	NA	0	NA	NA	NA
Pelorus	contig_5797	342001	343000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	342001	343000	NA	0	NA	NA	NA
Chicken	contig_5797	342001	343000	NA	0	NA	NA	NA
Davies	contig_5797	342001	343000	NA	0	NA	NA	NA
Heron	contig_5797	342001	343000	NA	0	NA	NA	NA
Davies	contig_5797	343001	344000	NA	0	NA	NA	NA
Chicken	contig_5797	343001	344000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	343001	344000	NA	0	NA	NA	NA
Heron	contig_5797	343001	344000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	343001	344000	NA	0	NA	NA	NA
Lizard	contig_5797	343001	344000	NA	0	NA	NA	NA
Moore	contig_5797	343001	344000	NA	0	NA	NA	NA
Pelorus	contig_5797	343001	344000	NA	0	NA	NA	NA
Lizard	contig_5797	344001	345000	NA	0	NA	NA	NA
Moore	contig_5797	344001	345000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	344001	345000	NA	0	NA	NA	NA
Pelorus	contig_5797	344001	345000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	344001	345000	NA	0	NA	NA	NA
Davies	contig_5797	344001	345000	NA	0	NA	NA	NA
Heron	contig_5797	344001	345000	NA	0	NA	NA	NA
Chicken	contig_5797	344001	345000	NA	0	NA	NA	NA
Pelorus	contig_5797	345001	346000	NA	0	NA	NA	NA
Davies	contig_5797	345001	346000	NA	0	NA	NA	NA
Chicken	contig_5797	345001	346000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	345001	346000	NA	0	NA	NA	NA
Heron	contig_5797	345001	346000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	345001	346000	NA	0	NA	NA	NA
Lizard	contig_5797	345001	346000	NA	0	NA	NA	NA
Moore	contig_5797	345001	346000	NA	0	NA	NA	NA
Pelorus	contig_5797	346001	347000	NA	0	NA	NA	NA
Moore	contig_5797	346001	347000	NA	0	NA	NA	NA
Lizard	contig_5797	346001	347000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	346001	347000	NA	0	NA	NA	NA
Chicken	contig_5797	346001	347000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	346001	347000	NA	0	NA	NA	NA
Davies	contig_5797	346001	347000	NA	0	NA	NA	NA
Heron	contig_5797	346001	347000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	347001	348000	NA	0	NA	NA	NA
Moore	contig_5797	347001	348000	NA	0	NA	NA	NA
Lizard	contig_5797	347001	348000	NA	0	NA	NA	NA
Pelorus	contig_5797	347001	348000	NA	0	NA	NA	NA
Heron	contig_5797	347001	348000	NA	0	NA	NA	NA
Chicken	contig_5797	347001	348000	NA	0	NA	NA	NA
Davies	contig_5797	347001	348000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	347001	348000	NA	0	NA	NA	NA
Moore	contig_5797	348001	349000	NA	0	NA	NA	NA
Lizard	contig_5797	348001	349000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	348001	349000	NA	0	NA	NA	NA
Pelorus	contig_5797	348001	349000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	348001	349000	NA	0	NA	NA	NA
Chicken	contig_5797	348001	349000	NA	0	NA	NA	NA
Davies	contig_5797	348001	349000	NA	0	NA	NA	NA
Heron	contig_5797	348001	349000	NA	0	NA	NA	NA
Davies	contig_5797	349001	350000	NA	0	NA	NA	NA
Chicken	contig_5797	349001	350000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	349001	350000	NA	0	NA	NA	NA
Heron	contig_5797	349001	350000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	349001	350000	NA	0	NA	NA	NA
Lizard	contig_5797	349001	350000	NA	0	NA	NA	NA
Moore	contig_5797	349001	350000	NA	0	NA	NA	NA
Pelorus	contig_5797	349001	350000	NA	0	NA	NA	NA
Lizard	contig_5797	350001	351000	NA	0	NA	NA	NA
Moore	contig_5797	350001	351000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	350001	351000	NA	0	NA	NA	NA
Pelorus	contig_5797	350001	351000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	350001	351000	NA	0	NA	NA	NA
Davies	contig_5797	350001	351000	NA	0	NA	NA	NA
Heron	contig_5797	350001	351000	NA	0	NA	NA	NA
Chicken	contig_5797	350001	351000	NA	0	NA	NA	NA
Pelorus	contig_5797	351001	352000	NA	0	NA	NA	NA
Davies	contig_5797	351001	352000	NA	0	NA	NA	NA
Chicken	contig_5797	351001	352000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	351001	352000	NA	0	NA	NA	NA
Heron	contig_5797	351001	352000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	351001	352000	NA	0	NA	NA	NA
Lizard	contig_5797	351001	352000	NA	0	NA	NA	NA
Moore	contig_5797	351001	352000	NA	0	NA	NA	NA
Moore	contig_5797	352001	353000	NA	0	NA	NA	NA
Lizard	contig_5797	352001	353000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	352001	353000	NA	0	NA	NA	NA
Chicken	contig_5797	352001	353000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	352001	353000	NA	0	NA	NA	NA
Davies	contig_5797	352001	353000	NA	0	NA	NA	NA
Pelorus	contig_5797	352001	353000	NA	0	NA	NA	NA
Heron	contig_5797	352001	353000	NA	0	NA	NA	NA
Moore	contig_5797	353001	354000	NA	0	NA	NA	NA
Lizard	contig_5797	353001	354000	NA	0	NA	NA	NA
Pelorus	contig_5797	353001	354000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	353001	354000	NA	0	NA	NA	NA
Heron	contig_5797	353001	354000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	353001	354000	NA	0	NA	NA	NA
Chicken	contig_5797	353001	354000	NA	0	NA	NA	NA
Davies	contig_5797	353001	354000	NA	0	NA	NA	NA
Davies	contig_5797	354001	355000	NA	0	NA	NA	NA
Chicken	contig_5797	354001	355000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	354001	355000	NA	0	NA	NA	NA
Heron	contig_5797	354001	355000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	354001	355000	NA	0	NA	NA	NA
Lizard	contig_5797	354001	355000	NA	0	NA	NA	NA
Moore	contig_5797	354001	355000	NA	0	NA	NA	NA
Pelorus	contig_5797	354001	355000	NA	0	NA	NA	NA
Pelorus	contig_5797	355001	356000	NA	0	NA	NA	NA
Moore	contig_5797	355001	356000	NA	0	NA	NA	NA
Lizard	contig_5797	355001	356000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	355001	356000	NA	0	NA	NA	NA
Davies	contig_5797	355001	356000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	355001	356000	NA	0	NA	NA	NA
Chicken	contig_5797	355001	356000	NA	0	NA	NA	NA
Heron	contig_5797	355001	356000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	356001	357000	NA	0	NA	NA	NA
Moore	contig_5797	356001	357000	NA	0	NA	NA	NA
Lizard	contig_5797	356001	357000	NA	0	NA	NA	NA
Pelorus	contig_5797	356001	357000	NA	0	NA	NA	NA
Heron	contig_5797	356001	357000	NA	0	NA	NA	NA
Chicken	contig_5797	356001	357000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	356001	357000	NA	0	NA	NA	NA
Davies	contig_5797	356001	357000	NA	0	NA	NA	NA
Davies	contig_5797	357001	358000	0.0120653009541898	195	30682	2542995	0
Chicken	contig_5797	357001	358000	0.0144536489151873	195	916	63375	0
Little Broadhurst	contig_5797	357001	358000	0.0124661246612466	195	2093	167895	0
Heron	contig_5797	357001	358000	0.0102509893207567	195	1891	184470	0
Lady Musgrave	contig_5797	357001	358000	0.0088888888888888	195	208	23400	0
Lizard	contig_5797	357001	358000	0.0162876475376475	195	6403	393120	0
Moore	contig_5797	357001	358000	0.019918507012449	195	8848	444210	0
Pelorus	contig_5797	357001	358000	0.009863307424283	195	1656	167895	0
Chicken	contig_5797	358001	359000	NA	0	NA	NA	NA
Pelorus	contig_5797	358001	359000	NA	0	NA	NA	NA
Moore	contig_5797	358001	359000	NA	0	NA	NA	NA
Lizard	contig_5797	358001	359000	NA	0	NA	NA	NA
Davies	contig_5797	358001	359000	NA	0	NA	NA	NA
Heron	contig_5797	358001	359000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	358001	359000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	358001	359000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	359001	360000	NA	0	NA	NA	NA
Moore	contig_5797	359001	360000	NA	0	NA	NA	NA
Lizard	contig_5797	359001	360000	NA	0	NA	NA	NA
Pelorus	contig_5797	359001	360000	NA	0	NA	NA	NA
Heron	contig_5797	359001	360000	NA	0	NA	NA	NA
Chicken	contig_5797	359001	360000	NA	0	NA	NA	NA
Davies	contig_5797	359001	360000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	359001	360000	NA	0	NA	NA	NA
Moore	contig_5797	360001	361000	NA	0	NA	NA	NA
Lizard	contig_5797	360001	361000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	360001	361000	NA	0	NA	NA	NA
Pelorus	contig_5797	360001	361000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	360001	361000	NA	0	NA	NA	NA
Chicken	contig_5797	360001	361000	NA	0	NA	NA	NA
Davies	contig_5797	360001	361000	NA	0	NA	NA	NA
Heron	contig_5797	360001	361000	NA	0	NA	NA	NA
Davies	contig_5797	361001	362000	NA	0	NA	NA	NA
Chicken	contig_5797	361001	362000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	361001	362000	NA	0	NA	NA	NA
Heron	contig_5797	361001	362000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	361001	362000	NA	0	NA	NA	NA
Lizard	contig_5797	361001	362000	NA	0	NA	NA	NA
Moore	contig_5797	361001	362000	NA	0	NA	NA	NA
Pelorus	contig_5797	361001	362000	NA	0	NA	NA	NA
Lizard	contig_5797	362001	363000	NA	0	NA	NA	NA
Moore	contig_5797	362001	363000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	362001	363000	NA	0	NA	NA	NA
Pelorus	contig_5797	362001	363000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	362001	363000	NA	0	NA	NA	NA
Davies	contig_5797	362001	363000	NA	0	NA	NA	NA
Heron	contig_5797	362001	363000	NA	0	NA	NA	NA
Chicken	contig_5797	362001	363000	NA	0	NA	NA	NA
Pelorus	contig_5797	363001	364000	NA	0	NA	NA	NA
Davies	contig_5797	363001	364000	NA	0	NA	NA	NA
Chicken	contig_5797	363001	364000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	363001	364000	NA	0	NA	NA	NA
Heron	contig_5797	363001	364000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	363001	364000	NA	0	NA	NA	NA
Lizard	contig_5797	363001	364000	NA	0	NA	NA	NA
Moore	contig_5797	363001	364000	NA	0	NA	NA	NA
Moore	contig_5797	364001	365000	NA	0	NA	NA	NA
Lizard	contig_5797	364001	365000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	364001	365000	NA	0	NA	NA	NA
Chicken	contig_5797	364001	365000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	364001	365000	NA	0	NA	NA	NA
Davies	contig_5797	364001	365000	NA	0	NA	NA	NA
Pelorus	contig_5797	364001	365000	NA	0	NA	NA	NA
Heron	contig_5797	364001	365000	NA	0	NA	NA	NA
Moore	contig_5797	365001	366000	NA	0	NA	NA	NA
Lizard	contig_5797	365001	366000	NA	0	NA	NA	NA
Pelorus	contig_5797	365001	366000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	365001	366000	NA	0	NA	NA	NA
Heron	contig_5797	365001	366000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	365001	366000	NA	0	NA	NA	NA
Chicken	contig_5797	365001	366000	NA	0	NA	NA	NA
Davies	contig_5797	365001	366000	NA	0	NA	NA	NA
Pelorus	contig_5797	366001	367000	NA	0	NA	NA	NA
Lizard	contig_5797	366001	367000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	366001	367000	NA	0	NA	NA	NA
Moore	contig_5797	366001	367000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	366001	367000	NA	0	NA	NA	NA
Chicken	contig_5797	366001	367000	NA	0	NA	NA	NA
Davies	contig_5797	366001	367000	NA	0	NA	NA	NA
Heron	contig_5797	366001	367000	NA	0	NA	NA	NA
Pelorus	contig_5797	367001	368000	NA	0	NA	NA	NA
Davies	contig_5797	367001	368000	NA	0	NA	NA	NA
Chicken	contig_5797	367001	368000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	367001	368000	NA	0	NA	NA	NA
Heron	contig_5797	367001	368000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	367001	368000	NA	0	NA	NA	NA
Lizard	contig_5797	367001	368000	NA	0	NA	NA	NA
Moore	contig_5797	367001	368000	NA	0	NA	NA	NA
Moore	contig_5797	368001	369000	NA	0	NA	NA	NA
Lizard	contig_5797	368001	369000	NA	0	NA	NA	NA
Pelorus	contig_5797	368001	369000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	368001	369000	NA	0	NA	NA	NA
Heron	contig_5797	368001	369000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	368001	369000	NA	0	NA	NA	NA
Chicken	contig_5797	368001	369000	NA	0	NA	NA	NA
Davies	contig_5797	368001	369000	NA	0	NA	NA	NA
Moore	contig_5797	369001	370000	NA	0	NA	NA	NA
Lizard	contig_5797	369001	370000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	369001	370000	NA	0	NA	NA	NA
Pelorus	contig_5797	369001	370000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	369001	370000	NA	0	NA	NA	NA
Chicken	contig_5797	369001	370000	NA	0	NA	NA	NA
Davies	contig_5797	369001	370000	NA	0	NA	NA	NA
Heron	contig_5797	369001	370000	NA	0	NA	NA	NA
Davies	contig_5797	370001	371000	NA	0	NA	NA	NA
Chicken	contig_5797	370001	371000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	370001	371000	NA	0	NA	NA	NA
Heron	contig_5797	370001	371000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	370001	371000	NA	0	NA	NA	NA
Lizard	contig_5797	370001	371000	NA	0	NA	NA	NA
Moore	contig_5797	370001	371000	NA	0	NA	NA	NA
Pelorus	contig_5797	370001	371000	NA	0	NA	NA	NA
Moore	contig_5797	371001	372000	NA	0	NA	NA	NA
Pelorus	contig_5797	371001	372000	NA	0	NA	NA	NA
Lizard	contig_5797	371001	372000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	371001	372000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	371001	372000	NA	0	NA	NA	NA
Chicken	contig_5797	371001	372000	NA	0	NA	NA	NA
Davies	contig_5797	371001	372000	NA	0	NA	NA	NA
Heron	contig_5797	371001	372000	NA	0	NA	NA	NA
Pelorus	contig_5797	372001	373000	NA	0	NA	NA	NA
Lizard	contig_5797	372001	373000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	372001	373000	NA	0	NA	NA	NA
Moore	contig_5797	372001	373000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	372001	373000	NA	0	NA	NA	NA
Chicken	contig_5797	372001	373000	NA	0	NA	NA	NA
Davies	contig_5797	372001	373000	NA	0	NA	NA	NA
Heron	contig_5797	372001	373000	NA	0	NA	NA	NA
Pelorus	contig_5797	373001	374000	NA	0	NA	NA	NA
Davies	contig_5797	373001	374000	NA	0	NA	NA	NA
Chicken	contig_5797	373001	374000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	373001	374000	NA	0	NA	NA	NA
Heron	contig_5797	373001	374000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	373001	374000	NA	0	NA	NA	NA
Lizard	contig_5797	373001	374000	NA	0	NA	NA	NA
Moore	contig_5797	373001	374000	NA	0	NA	NA	NA
Lizard	contig_5797	374001	375000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	374001	375000	NA	0	NA	NA	NA
Moore	contig_5797	374001	375000	NA	0	NA	NA	NA
Pelorus	contig_5797	374001	375000	NA	0	NA	NA	NA
Heron	contig_5797	374001	375000	NA	0	NA	NA	NA
Chicken	contig_5797	374001	375000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	374001	375000	NA	0	NA	NA	NA
Davies	contig_5797	374001	375000	NA	0	NA	NA	NA
Davies	contig_5797	375001	376000	NA	0	NA	NA	NA
Chicken	contig_5797	375001	376000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	375001	376000	NA	0	NA	NA	NA
Heron	contig_5797	375001	376000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	375001	376000	NA	0	NA	NA	NA
Lizard	contig_5797	375001	376000	NA	0	NA	NA	NA
Moore	contig_5797	375001	376000	NA	0	NA	NA	NA
Pelorus	contig_5797	375001	376000	NA	0	NA	NA	NA
Pelorus	contig_5797	376001	377000	NA	0	NA	NA	NA
Moore	contig_5797	376001	377000	NA	0	NA	NA	NA
Lizard	contig_5797	376001	377000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	376001	377000	NA	0	NA	NA	NA
Davies	contig_5797	376001	377000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	376001	377000	NA	0	NA	NA	NA
Chicken	contig_5797	376001	377000	NA	0	NA	NA	NA
Heron	contig_5797	376001	377000	NA	0	NA	NA	NA
Moore	contig_5797	377001	378000	NA	0	NA	NA	NA
Pelorus	contig_5797	377001	378000	NA	0	NA	NA	NA
Lizard	contig_5797	377001	378000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	377001	378000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	377001	378000	NA	0	NA	NA	NA
Chicken	contig_5797	377001	378000	NA	0	NA	NA	NA
Davies	contig_5797	377001	378000	NA	0	NA	NA	NA
Heron	contig_5797	377001	378000	NA	0	NA	NA	NA
Pelorus	contig_5797	378001	379000	NA	0	NA	NA	NA
Lizard	contig_5797	378001	379000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	378001	379000	NA	0	NA	NA	NA
Moore	contig_5797	378001	379000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	378001	379000	NA	0	NA	NA	NA
Chicken	contig_5797	378001	379000	NA	0	NA	NA	NA
Davies	contig_5797	378001	379000	NA	0	NA	NA	NA
Heron	contig_5797	378001	379000	NA	0	NA	NA	NA
Pelorus	contig_5797	379001	380000	NA	0	NA	NA	NA
Davies	contig_5797	379001	380000	NA	0	NA	NA	NA
Chicken	contig_5797	379001	380000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	379001	380000	NA	0	NA	NA	NA
Heron	contig_5797	379001	380000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	379001	380000	NA	0	NA	NA	NA
Lizard	contig_5797	379001	380000	NA	0	NA	NA	NA
Moore	contig_5797	379001	380000	NA	0	NA	NA	NA
Lizard	contig_5797	380001	381000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	380001	381000	NA	0	NA	NA	NA
Moore	contig_5797	380001	381000	NA	0	NA	NA	NA
Pelorus	contig_5797	380001	381000	NA	0	NA	NA	NA
Heron	contig_5797	380001	381000	NA	0	NA	NA	NA
Chicken	contig_5797	380001	381000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	380001	381000	NA	0	NA	NA	NA
Davies	contig_5797	380001	381000	NA	0	NA	NA	NA
Davies	contig_5797	381001	382000	NA	0	NA	NA	NA
Chicken	contig_5797	381001	382000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	381001	382000	NA	0	NA	NA	NA
Heron	contig_5797	381001	382000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	381001	382000	NA	0	NA	NA	NA
Lizard	contig_5797	381001	382000	NA	0	NA	NA	NA
Moore	contig_5797	381001	382000	NA	0	NA	NA	NA
Pelorus	contig_5797	381001	382000	NA	0	NA	NA	NA
Chicken	contig_5797	382001	383000	NA	0	NA	NA	NA
Pelorus	contig_5797	382001	383000	NA	0	NA	NA	NA
Moore	contig_5797	382001	383000	NA	0	NA	NA	NA
Lizard	contig_5797	382001	383000	NA	0	NA	NA	NA
Davies	contig_5797	382001	383000	NA	0	NA	NA	NA
Heron	contig_5797	382001	383000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	382001	383000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	382001	383000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	383001	384000	NA	0	NA	NA	NA
Moore	contig_5797	383001	384000	NA	0	NA	NA	NA
Lizard	contig_5797	383001	384000	NA	0	NA	NA	NA
Pelorus	contig_5797	383001	384000	NA	0	NA	NA	NA
Heron	contig_5797	383001	384000	NA	0	NA	NA	NA
Chicken	contig_5797	383001	384000	NA	0	NA	NA	NA
Davies	contig_5797	383001	384000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	383001	384000	NA	0	NA	NA	NA
Moore	contig_5797	384001	385000	NA	0	NA	NA	NA
Lizard	contig_5797	384001	385000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	384001	385000	NA	0	NA	NA	NA
Pelorus	contig_5797	384001	385000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	384001	385000	NA	0	NA	NA	NA
Chicken	contig_5797	384001	385000	NA	0	NA	NA	NA
Davies	contig_5797	384001	385000	NA	0	NA	NA	NA
Heron	contig_5797	384001	385000	NA	0	NA	NA	NA
Davies	contig_5797	385001	386000	NA	0	NA	NA	NA
Chicken	contig_5797	385001	386000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	385001	386000	NA	0	NA	NA	NA
Heron	contig_5797	385001	386000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	385001	386000	NA	0	NA	NA	NA
Lizard	contig_5797	385001	386000	NA	0	NA	NA	NA
Moore	contig_5797	385001	386000	NA	0	NA	NA	NA
Pelorus	contig_5797	385001	386000	NA	0	NA	NA	NA
Lizard	contig_5797	386001	387000	NA	0	NA	NA	NA
Moore	contig_5797	386001	387000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	386001	387000	NA	0	NA	NA	NA
Pelorus	contig_5797	386001	387000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	386001	387000	NA	0	NA	NA	NA
Chicken	contig_5797	386001	387000	NA	0	NA	NA	NA
Davies	contig_5797	386001	387000	NA	0	NA	NA	NA
Heron	contig_5797	386001	387000	NA	0	NA	NA	NA
Moore	contig_5797	387001	388000	NA	0	NA	NA	NA
Lizard	contig_5797	387001	388000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	387001	388000	NA	0	NA	NA	NA
Pelorus	contig_5797	387001	388000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	387001	388000	NA	0	NA	NA	NA
Chicken	contig_5797	387001	388000	NA	0	NA	NA	NA
Davies	contig_5797	387001	388000	NA	0	NA	NA	NA
Heron	contig_5797	387001	388000	NA	0	NA	NA	NA
Davies	contig_5797	388001	389000	NA	0	NA	NA	NA
Chicken	contig_5797	388001	389000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	388001	389000	NA	0	NA	NA	NA
Heron	contig_5797	388001	389000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	388001	389000	NA	0	NA	NA	NA
Lizard	contig_5797	388001	389000	NA	0	NA	NA	NA
Moore	contig_5797	388001	389000	NA	0	NA	NA	NA
Pelorus	contig_5797	388001	389000	NA	0	NA	NA	NA
Lizard	contig_5797	389001	390000	NA	0	NA	NA	NA
Pelorus	contig_5797	389001	390000	NA	0	NA	NA	NA
Moore	contig_5797	389001	390000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	389001	390000	NA	0	NA	NA	NA
Heron	contig_5797	389001	390000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	389001	390000	NA	0	NA	NA	NA
Chicken	contig_5797	389001	390000	NA	0	NA	NA	NA
Davies	contig_5797	389001	390000	NA	0	NA	NA	NA
Davies	contig_5797	390001	391000	NA	0	NA	NA	NA
Chicken	contig_5797	390001	391000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	390001	391000	NA	0	NA	NA	NA
Heron	contig_5797	390001	391000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	390001	391000	NA	0	NA	NA	NA
Lizard	contig_5797	390001	391000	NA	0	NA	NA	NA
Moore	contig_5797	390001	391000	NA	0	NA	NA	NA
Pelorus	contig_5797	390001	391000	NA	0	NA	NA	NA
Pelorus	contig_5797	391001	392000	0.0340575455079271	131	3480	102180	10611
Moore	contig_5797	391001	392000	0.0275486063173133	131	8221	298418	0
Lizard	contig_5797	391001	392000	0.037168302435478	131	9816	264096	0
Lady Musgrave	contig_5797	391001	392000	0.034796437659033	131	547	15720	0
Davies	contig_5797	391001	392000	0.0230509369004461	131	32848	1425018	283353
Little Broadhurst	contig_5797	391001	392000	0.0237585918582302	131	2188	92093	20698
Chicken	contig_5797	391001	392000	0.0182265737360327	131	659	36156	6419
Heron	contig_5797	391001	392000	0.034012233106854	131	4215	123926	0
Lizard	contig_5797	392001	393000	NA	0	NA	NA	NA
Pelorus	contig_5797	392001	393000	NA	0	NA	NA	NA
Moore	contig_5797	392001	393000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	392001	393000	NA	0	NA	NA	NA
Heron	contig_5797	392001	393000	NA	0	NA	NA	NA
Little Broadhurst	contig_5797	392001	393000	NA	0	NA	NA	NA
Chicken	contig_5797	392001	393000	NA	0	NA	NA	NA
Davies	contig_5797	392001	393000	NA	0	NA	NA	NA
Moore	contig_5797	393001	394000	NA	0	NA	NA	NA
Lizard	contig_5797	393001	394000	NA	0	NA	NA	NA
Lady Musgrave	contig_5797	393001	394000	NA	0	NA	NA	NA
Pelorus	contig_5797	393001	394000	NA	0	NA	NA	NA
